Référence	ContexteGauche	Pivot	ContexteDroit
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lac, 87, 2 004 895		ge_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lac, 97, 2 005 323		ge_je an_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lancpr, 66, 2 024 200		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lancpr, 76, 2 024 471		je_je i_y	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lancpr, 87, 2 024 895		jou_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ombre, 860, 2 037 337		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, orso, 162, 2 065 098		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, orso, 1449, 2 076 317		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, auc, 36, 2 082 284		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, calex, 1421, 2 101 278		je_je i_y	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, compoit, 1289, 2 112 348		jou_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nicb, 388, 2 158 697		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 112, 2 184 604		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 153, 2 185 511		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 202, 2 186 751		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 214, 2 187 046		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 568, 2 195 792		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 651, 2 197 909		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 658, 2 198 079		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 716, 2 199 545		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, queste, 728, 2 199 808		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rose, 1524, 2 245 160		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, desp, 2150, 2 287 264		ie_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, vergib, 192, 2 305 001		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, vergig, 376, 2 330 235		ie_je i_y	
