Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 3832, 1 319 827		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 4368, 1 323 107		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 4791, 1 325 785		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, athi, 94, 1 332 377		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, athi, 681, 1 335 830		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, athi, 826, 1 336 726		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, athi, 855, 1 336 912		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, athi, 1185, 1 338 956		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, athi, 2214, 1 345 145		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, athi, 2248, 1 345 352		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, athi, 2470, 1 346 678		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bodo, 449, 1 377 474		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 611, 1 383 626		j_je an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, contro, 2467, 1 394 551		j_y an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, contro, 2467, 1 394 555		j_y an_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 2544, 1 394 996		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, contro, 2688, 1 395 839		j_y an_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, epee, 143, 1 404 696		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, epee, 506, 1 406 879		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, epee, 532, 1 407 045		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, epee, 741, 1 408 367		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, epee, 949, 1 409 618		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fab4c, 174, 1 412 317		i_y en_en	
