Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesT, 2244, 0 660 841		j_y oi_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesT, 2409, 0 661 660		g_je estoie_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesZ, 414, 0 672 307		j_je ay_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 345, 0 677 608		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 348, 0 677 630		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 357, 0 677 701		j_y oisse_ouïr	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 358, 0 677 708		j_y oie_ouïr	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 380, 0 677 855		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 474, 0 678 392		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 943, 0 681 316		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 985, 0 681 578		j_y ancontrai_encontrer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 997, 0 681 654		j_y ancontrai_encontrer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pera, 1142, 0 682 564		j_je es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 1388, 0 684 094		j_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 1883, 0 687 131		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 1989, 0 687 781		j_y aie_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perb, 354, 0 690 050		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perb, 448, 0 690 590		i_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perb, 459, 0 690 661		g_je ierai_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perb, 650, 0 691 795		i_y es_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perb, 902, 0 693 413		i_y aie_avoir	
