word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;edmund;18;1 249 388;a;à;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;edmund;1246;1 256 447;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;graal;538;1 275 355;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nic;1104;1 284 004;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;evratC2;821;1 291 678;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;1;1 360 835;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;272;1 366 341;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;303;1 367 172;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;contro;985;1 385 829;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cordres;620;1 401 112;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fab4c;4;1 411 270;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;moral;1228;1 447 643;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;VERppe;je;issir;ailea;29;1 555 045;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileb;28;1 559 115;en;en;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ailed;29;1 562 005;en;en;PRE
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileg;29;1 565 228;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileo;29;1 569 267;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ailet;28;1 570 796;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;269;1 580 230;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;287;1 580 549;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;290;1 580 609;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;815;1 592 281;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;carp;231;1 597 929;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amad;312;1 640 998;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;931;1 662 865;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cou;86;1 675 844;a;à;PRE
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;best;718;1 716 572;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;jaco;209;1 741 704;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;326;1 760 958;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;367;1 762 113;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;367;1 762 125;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;644;1 769 948;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;942;1 778 021;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;946;1 778 107;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;947;1 778 125;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;1129;1 783 047;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;1140;1 783 387;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lin;236;1 799 727;en;en;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;merlin;228;1 822 319;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;98;1 830 801;endroit;endroit;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;118;1 831 280;en;en;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;178;1 832 773;en;en;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;512;1 840 412;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pon1;16;1 841 714;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;songe;73;1 846 224;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;25;1 871 696;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;71;1 873 195;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;701;1 894 277;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;652;1 928 945;ob;o;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;820;1 932 511;o;o;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;1050;1 937 901;en;en;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lac;36;2 003 767;avoc;avec;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lanc;98;2 015 917;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lancpr;33;2 023 341;aveuc;avec;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;387;2 067 071;antre;entre;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;410;2 067 273;an;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;1184;2 074 058;apres;après;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;1752;2 079 015;outre;outre;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;auc;43;2 082 461;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aucchants;107;2 092 293;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;calex;279;2 094 513;a;à;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nicoa;416;2 164 606;en;en;PRE
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nicoa;549;2 165 504;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;queste;290;2 188 963;endroit;endroit;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;meun;11;2 199 940;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rose;2805;2 252 901;a;à;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anti;59;2 260 848;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;desp;2194;2 287 512;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;wita;241;2 293 957;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;103;2 383 244;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;1085;2 389 140;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;1929;2 394 419;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;532;2 481 527;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;1000;2 487 712;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;1410;2 494 030;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;1745;2 499 496;aveques;avec;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;thebe;72;2 500 083;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;faba;374;2 510 384;ainz;ains;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ndchar;252;2 565 738;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ndchar;6198;2 599 648;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;miro;61;2 612 759;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;miro;486;2 615 200;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cass;436;2 625 910;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;enf;144;2 654 157;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pen;713;2 686 769;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pen;885;2 690 019;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yzop;1916;2 702 319;a;à;PRE
