word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;303;0 883 329;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;306;0 883 346;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;311;0 883 377;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;341;0 883 578;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;alia;320;0 888 666;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;640;0 891 072;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;1603;0 899 612;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;1800;0 901 361;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;258;0 976 207;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;712;0 978 855;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;ren2;742;0 979 039;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;1370;0 982 898;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;ren2;1409;0 983 141;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;1653;0 984 661;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;1792;0 985 541;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;2088;0 987 350;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;2290;0 988 633;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;roma;656;0 992 745;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;romb;754;1 001 059;em;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;rombriv;282;1 007 318;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;rombriv;438;1 008 231;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rombriva;199;1 010 155;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romc;1041;1 017 913;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romd;790;1 027 577;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;rome;786;1 037 159;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romh;910;1 047 486;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romh;1121;1 048 740;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;romh;1254;1 049 574;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romi;160;1 052 925;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romi;262;1 053 542;y;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;romk;1001;1 063 917;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;roml;782;1 071 686;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romm;1003;1 082 050;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romm;1039;1 082 274;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;romo;749;1 091 656;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;romo;785;1 091 877;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;romo;1005;1 093 197;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romo;1453;1 095 897;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;74;1 096 738;en;en;PROadv
